formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,ordered,crystalSystem,pointGroup,spaceGroupNumber,volumePerSite,density,c_a
Ge1 Li2 Sn1,3,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-1.5,1.03,0.5028,0.2,0.0866,3.0,1.299,True,cubic,-43m,216,20.4445,4.1673,1.0
Au3 Ho3 In3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,3.0,1.31,0.5371,0.4,0.1633,3.0,1.2472,True,hexagonal,-6m2,189,23.0931,11.4262,1.9183
Cs12 S16 Ta4,3,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.79,0.835,1.6,0.7447,3.0,1.5,True,orthorhombic,mmm,62,38.0114,3.8657,0.8517
Li2 Rb2 S2,3,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.7946,1.35,0.5612,3.0,1.2472,True,tetragonal,4/mmm,129,24.1566,2.8521,0.6019
Rh1 Sc6 Te2,3,0.0,0.0,0.0,0.2222,0.0,0.0,0.2222,0.0,0.0,0.7778,1.8889,0.92,0.3803,0.25,0.103,1.0,0.4714,True,hexagonal,-6m2,189,22.2467,5.207,2.0576
Ho2 Si2 Ti2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,1.0,0.67,0.2738,0.65,0.2656,5.0,2.1602,True,tetragonal,4/mmm,129,20.3198,6.5617,0.5332
O8 Si2 Zr2,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.1667,0.0,0.0,0.1667,-1.3333,2.11,0.8759,0.95,0.3656,3.0,1.1055,True,tetragonal,4/mmm,141,11.3252,4.4795,1.0
As8 S16 Tl8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-1.5,0.96,0.3934,0.9,0.3731,3.0,1.2247,True,monoclinic,2/m,14,28.8789,4.9369,0.491
Se2 Ti2,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.01,0.505,0.25,0.125,0.0,0.0,True,hexagonal,6/mmm,194,17.7651,5.9274,0.4951
Co2 Fe1 Si1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.5,0.07,0.0259,0.3,0.1173,1.0,0.433,True,cubic,m-3m,225,11.14,7.52,1.0
Ge4 Ir4 Lu4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,0.93,0.4012,0.5,0.216,2.0,0.9428,True,orthorhombic,mmm,62,18.1641,13.4027,0.5583
C8 N8 S24,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,0.49,0.1874,0.35,0.16,1.0,0.4899,True,monoclinic,2/m,15,25.8557,1.5698,0.358
Ge16 Y20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.5556,-0.1111,0.79,0.3926,0.55,0.2733,1.0,0.4969,True,orthorhombic,mmm,62,24.4095,5.5563,0.5201
Ag6 S6 Sb2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.4286,-0.8571,0.65,0.3093,0.6,0.2827,2.0,0.9897,True,trigonal,3m,161,23.8325,5.3905,1.0
Li1 Pt1,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.3,0.65,0.1,0.05,4.0,2.0,True,hexagonal,-6m2,187,14.0637,11.9268,0.6523
Ba2 F20 Te4,3,0.0,0.0,0.0769,0.1538,0.7692,0.0,0.1538,0.0,0.0,0.0,-0.9231,3.09,1.0003,1.65,0.5134,4.0,1.4226,True,monoclinic,2/m,15,16.2491,4.5791,0.4727
Cs8 O32 P8 Ti4,4,0.0,0.1538,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.0769,-1.2308,2.65,1.0206,2.0,0.7097,4.0,1.4391,True,orthorhombic,222,19,18.8483,3.413,0.5246
Bi4 Li10 O36 P10,4,0.0,0.1667,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.46,0.9461,1.0,0.3717,4.0,1.0225,True,triclinic,-1,2,12.0159,4.1252,1.4039
Er4 Ga4 Pd4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.6667,0.96,0.3942,0.45,0.1929,4.0,1.6997,True,orthorhombic,mmm,62,19.5328,9.7312,0.5833
Ir4 O16 Sr8,3,0.0,0.0,0.2857,0.5714,0.0,0.0,0.0,0.0,0.0,0.1429,-0.1429,2.49,1.0962,1.4,0.619,4.0,1.6782,True,tetragonal,4/mmm,142,14.2986,7.158,0.4036
Al1 Fe2 Mn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.28,0.1268,0.15,0.065,1.0,0.433,True,cubic,m-3m,225,11.45,7.0196,1.0
