formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,ordered,crystalSystem,pointGroup,spaceGroupNumber,volumePerSite,density,c_a
In1 Pd3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.42,0.1819,0.15,0.065,0.0,0.0,True,tetragonal,4/mmm,123,16.5469,10.8903,0.9994
B3 La3 O15 Si3,4,0.0,0.0,0.0,0.625,0.0,0.125,0.25,0.0,0.125,0.125,-1.0,2.34,0.889,1.35,0.4449,6.0,1.9645,True,trigonal,32,152,11.7103,4.5695,1.0048
Li8 Mo8 O40 P8,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-1.0,2.46,0.8761,0.85,0.3629,3.0,1.0,True,orthorhombic,mm2,33,14.5989,3.0405,1.2127
Bi4 O16 Ta4,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,1.94,0.8061,1.0,0.4382,4.0,1.8856,True,orthorhombic,mmm,52,14.353,8.7527,0.4248
Pt3 V1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.75,0.65,0.2815,0.0,0.0,2.0,0.866,True,tetragonal,4/mmm,139,15.0351,17.5659,0.8059
O8 Si4,2,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,0.0,-2.6667,1.54,0.726,0.5,0.2357,1.0,0.4714,True,orthorhombic,mmm,60,7.8866,4.2169,0.8097
Li2 O24 P8 Tb2,4,0.0,0.0556,0.0,0.6667,0.0,0.0556,0.0,0.0,0.0556,0.0,-1.7778,3.44,0.987,1.15,0.3304,6.0,1.3833,True,monoclinic,2/m,15,12.8439,3.4602,0.7946
Ge16 Yb20,2,0.0,0.0,0.0,0.0,0.0,0.5556,0.4444,0.0,0.5556,0.0,-0.1111,2.01,0.9988,0.5,0.2485,4.0,1.9876,True,orthorhombic,mmm,62,25.419,8.3891,0.4831
O6 V4,2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.81,0.8867,0.75,0.3674,2.0,0.9798,True,trigonal,-3m,167,10.7194,4.6436,1.0
Na1 S2 Y1,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.65,0.7595,0.8,0.4,2.0,0.866,True,trigonal,-3m,166,23.0476,3.1706,1.0
Fe8 Na40 O32,3,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,2.51,1.185,1.2,0.5671,2.0,0.6403,True,orthorhombic,mmm,61,14.4515,2.6979,0.3315
Nb4 Pt12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.75,0.68,0.2944,0.1,0.0433,1.0,0.433,True,monoclinic,2/m,11,16.0508,17.5398,0.5244
B6 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.1429,0.8571,0.0,0.1429,0.0,3.0,2.04,0.7139,0.9,0.3149,6.0,2.0996,True,cubic,m-3m,221,9.8441,5.3929,1.0
Fe6 Ge6 Mg1,3,0.0,0.0,0.0769,0.0,0.0,0.0,0.4615,0.0,0.0,0.4615,-0.7692,0.7,0.1841,0.25,0.0858,1.0,0.2665,True,hexagonal,6/mmm,191,13.7527,7.3859,0.6285
C6 H6 N6 O6,4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,1.24,0.4716,0.45,0.1768,1.0,0.433,True,monoclinic,2/m,15,11.1211,1.606,0.9977
Hf4 O32 Te12,3,0.0,0.0,0.0,0.9167,0.0,0.0,0.25,0.0,0.0,0.0833,-1.5,2.14,0.753,0.95,0.3966,4.0,1.5523,True,cubic,m-3,206,15.9268,5.9888,1.0
Al2 Co6 U4,3,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.5,3.5,0.5,0.2251,0.5,0.2034,6.0,2.5,True,hexagonal,6/mmm,194,14.6146,12.8741,0.6749
F4 S1,2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-1.2,1.4,0.56,0.5,0.2,1.0,0.4,True,tetragonal,-42m,121,17.5006,2.0506,0.9706
B20 Fe2 Th4,3,0.1538,0.0,0.0,0.0,0.0,0.0,0.7692,0.0,0.1538,0.0769,3.0769,0.74,0.266,0.95,0.3558,7.0,2.5162,True,orthorhombic,mmm,55,10.182,7.8787,0.3717
Ga1 Mo4 S8 Si1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.2857,-0.0714,0.77,0.2753,0.45,0.2008,2.0,0.895,True,cubic,-43m,216,21.2708,4.1157,1.0
La6 Se8,2,0.0,0.0,0.0,0.5714,0.0,0.4286,0.0,0.0,0.4286,0.4286,0.1429,1.45,0.7176,0.8,0.3959,4.0,1.9795,True,cubic,-43m,220,26.8793,6.4651,1.0
Cu24 Pr4,2,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.8571,2.1429,0.77,0.2694,0.5,0.175,4.0,1.3997,True,orthorhombic,mmm,62,14.9622,8.279,0.5008
B4 Ca2 Rh5,3,0.0,0.0,0.1818,0.0,0.0,0.0,0.3636,0.0,0.0,0.4545,2.8182,1.28,0.4652,0.95,0.3431,3.0,1.3545,True,orthorhombic,mmm,69,13.9533,6.9016,0.8792
K48 Se56 Sn16,3,0.0,0.4,0.0,0.4667,0.0,0.0,0.0,0.0,0.0,0.0,-1.0667,1.73,0.806,1.05,0.4913,1.0,0.3399,True,monoclinic,2/m,14,35.612,3.1854,0.6265
Ce2 Fe2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.78,0.3524,0.75,0.3082,5.0,2.1602,True,tetragonal,4/mmm,129,18.258,6.7922,0.6056
B8 Ir4 Mo8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,3.4,0.16,0.0669,0.6,0.28,4.0,1.6733,True,orthorhombic,mmm,58,11.4152,11.8038,0.3445
Ba2 Nd1 O6 Sb1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.1,0.0,0.1,0.0,-0.8,2.55,1.1181,1.55,0.6623,6.0,2.1932,True,trigonal,-3,148,16.2757,6.4955,1.0
Bi6 Br2 La10,3,0.0,0.0,0.0,0.0,0.1111,0.5556,0.0,0.0,0.5556,0.5556,2.5556,1.86,0.6348,0.8,0.264,4.0,1.3699,True,hexagonal,6/mmm,193,31.9571,8.0908,1.4307
Al8 Pt16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,2.3333,0.67,0.3158,0.1,0.0471,3.0,1.4142,True,orthorhombic,mmm,51,14.9991,15.3941,0.24
B40 H40 K8,3,0.0,0.0909,0.0,0.0,0.0,0.0,0.4545,0.0,0.0,0.0,1.0,1.38,0.3814,1.95,0.5539,3.0,0.8624,True,monoclinic,2/m,14,11.4545,1.2941,0.5179
O8 Pr2 V2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.1667,0.0,2.31,0.9818,1.25,0.493,6.0,2.2111,True,tetragonal,4/mmm,141,15.2628,4.6392,1.0
Cu6 Ge3 S12 Sr3,4,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.25,-0.75,1.63,0.5388,1.0,0.3225,2.0,0.696,True,trigonal,3,145,21.107,4.0872,0.404
Ho8 Se12,2,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,1.32,0.6467,0.6,0.2939,4.0,1.9596,True,orthorhombic,mmm,70,28.9293,6.5062,0.5484
Ba4 F1 K1 O14 Ti5,5,0.0,0.04,0.16,0.56,0.04,0.0,0.0,0.0,0.0,0.2,0.0,3.16,1.1356,1.7,0.6294,4.0,1.5052,True,tetragonal,4/mmm,123,13.0697,5.4416,0.1972
Dy2 Fe4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.61,0.2876,0.35,0.165,4.0,1.8856,True,cubic,m-3m,227,15.9733,9.5013,1.0
Gd2 O8 Pa2,3,0.1667,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.3333,0.0,0.0,2.24,0.989,1.2,0.5657,7.0,3.0777,True,tetragonal,4/mmm,141,13.3579,9.3707,1.1595
Br6 Mn2 Rb2,3,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,2.14,0.8997,1.2,0.4652,1.0,0.4,True,hexagonal,6/mmm,194,33.1715,3.8057,1.1719
As1 Se3 Y4,3,0.0,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.5,0.375,1.33,0.629,0.65,0.325,1.0,0.5,True,monoclinic,2/m,12,24.3379,5.6922,1.1533
F4 Mg1 Rb2,3,0.0,0.2857,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.4907,1.85,0.8185,3.0,1.3093,True,tetragonal,4/mmm,139,17.0753,3.7681,0.5438
Pb2 S2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.8,0.4,3.0,1.5,True,orthorhombic,mm2,39,51.4572,3.8606,0.3742
As4 C4 H32 N12 O16,5,0.0,0.0,0.0,0.2353,0.0,0.0,0.0588,0.0,0.0,0.0,-1.8824,1.26,0.5315,0.9,0.2503,3.0,0.7624,True,monoclinic,2/m,14,10.1087,1.9424,0.447
C2 Cl16 Si6,3,0.0,0.0,0.0,0.0,0.6667,0.0,0.25,0.0,0.0,0.0,-2.0,1.26,0.5423,0.4,0.1,1.0,0.2764,True,triclinic,-1,2,28.4373,1.8486,0.9386
Dy1 Ga2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,3.0,0.59,0.2781,0.45,0.2121,4.0,1.8856,True,hexagonal,6/mmm,191,21.1711,7.8943,1.0282
Nb1 S1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.98,0.49,0.45,0.225,2.0,1.0,True,hexagonal,-6m2,187,15.8525,6.5453,0.9983
Cu2 Dy2 Sb4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.25,0.83,0.3433,0.4,0.15,4.0,1.5,True,tetragonal,4/mmm,129,22.8482,8.5316,0.442
Se4 Ti5,2,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,0.5556,1.3333,1.01,0.5019,0.25,0.1242,0.0,0.0,True,tetragonal,4/m,87,18.3843,5.5717,0.4918
H6 O18 P6 Sc4,4,0.0,0.0,0.0,0.5294,0.0,0.0,0.0,0.0,0.0,0.1176,-1.4118,2.08,0.7668,1.35,0.3892,3.0,0.8765,True,hexagonal,6/m,176,14.1461,2.2776,1.0808
Ce1 Pd5,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,1.08,0.4025,0.45,0.1677,3.0,1.118,True,hexagonal,6/mmm,191,18.5828,10.0114,1.1783
Ba1 Fe2 S4,3,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,-0.2857,1.69,0.6009,1.15,0.3963,3.0,1.0302,True,tetragonal,4/m,87,21.265,4.2087,0.8508
Cu2 H2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.15,1.1,0.55,3.0,1.5,True,hexagonal,6mm,186,8.031,6.6738,0.6232
Ni2 Sb4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,-1.3333,0.14,0.066,0.1,0.0471,1.0,0.4714,True,orthorhombic,mmm,58,21.493,7.783,0.6134
Fe4 P12 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0588,0.2353,-1.4706,2.19,0.5167,0.75,0.2272,5.0,1.194,True,cubic,m-3,204,13.8565,5.4146,1.0
Cr4 O28 P8 Tl4,4,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.0909,-1.4545,1.82,0.7522,1.3,0.414,4.0,1.2129,True,monoclinic,2/m,14,14.0225,4.6326,0.7538
Ca4 O16 S4,3,0.0,0.0,0.1667,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.44,0.9017,1.2,0.4422,2.0,0.7638,True,monoclinic,2/m,14,12.3714,3.0456,0.9204
H8 Hg4 O20 Se4,4,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1111,-1.4444,1.44,0.6119,1.25,0.3793,5.0,1.499,True,monoclinic,2/m,14,12.8463,5.1929,0.9534
C12 Cr28,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.89,0.4078,0.7,0.3208,2.0,0.9165,True,orthorhombic,mmm,62,9.4168,7.0536,0.3743
N6 Rb2,2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.22,0.9613,1.7,0.7361,3.0,1.299,True,tetragonal,4/mmm,140,19.8039,2.6724,1.0
F16 K4 Sc4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,3.16,1.3712,1.7,0.6823,2.0,0.9428,True,monoclinic,2/m,12,17.5952,2.5174,0.305
O4 S8 Y8,3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.22,0.8657,1.2,0.48,3.0,1.2,True,monoclinic,2/m,14,19.6174,4.3668,0.8297
Ba4 Mg8 O32 V8,4,0.0,0.0,0.2308,0.6154,0.0,0.0,0.0,0.0,0.0,0.1538,-0.0,2.55,1.0288,1.55,0.5067,4.0,1.1867,True,tetragonal,4/mmm,142,13.1695,4.0331,0.8704
Ba1 Ni1 O5 Pr2,4,0.0,0.0,0.1111,0.5556,0.0,0.2222,0.0,0.0,0.2222,0.1111,-0.0,2.55,1.1108,1.55,0.6263,6.0,2.4944,True,orthorhombic,mmm,71,15.4404,6.6658,0.5588
Cu2 In1 Mn1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.35,0.1429,0.2,0.082,1.0,0.433,True,cubic,m-3m,225,14.7525,8.3533,1.0
Al8 B4 Co2 O20,4,0.0,0.0,0.0,0.5882,0.0,0.0,0.1176,0.0,0.0,0.0588,-0.0,1.83,0.8305,0.75,0.2976,2.0,0.5882,True,monoclinic,2/m,14,8.581,3.9667,0.4574
Li4 Nb8 O48 P12,4,0.0,0.0556,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1111,-1.2222,2.46,0.8191,0.85,0.322,3.0,0.9574,True,monoclinic,2/m,14,13.7479,3.2053,0.7137
Ni6 Sn2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.05,0.0217,0.1,0.0433,1.0,0.433,True,hexagonal,6/mmm,194,12.9213,9.471,1.2506
Sn1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,True,tetragonal,4/mmm,139,27.8234,7.0848,1.0
Cr30 P19 Zr2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6275,0.8039,0.86,0.2736,0.55,0.2,2.0,0.5483,True,hexagonal,-6,174,12.2454,6.1975,4.5532
Au2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,2.54,0.933,0.65,0.2379,5.0,1.9391,True,tetragonal,4/mmm,139,19.1013,10.8344,0.7427
Br2 H2 K4 O2,4,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-0.4,2.62,1.0778,1.95,0.8041,3.0,1.2649,True,monoclinic,2/m,11,24.0848,2.4146,0.5024
Cu5 Dy1,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,0.68,0.2534,0.4,0.1491,4.0,1.4907,True,cubic,-43m,216,14.4154,9.2198,1.0
H2 Li8 N2,3,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.8102,1.2,0.4853,1.0,0.3727,True,triclinic,-1,2,9.7905,1.2093,0.8086
Co4 Sb12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,-1.75,0.17,0.0736,0.1,0.0433,1.0,0.433,True,cubic,m-3,204,23.6675,7.4408,1.0
Ge2 Pt2 Th1,3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.98,0.3589,0.55,0.2049,5.0,1.833,True,tetragonal,4/mmm,139,19.5089,13.0652,0.7483
Au1 Sm1 Sn1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.37,0.5615,0.5,0.216,3.0,1.2472,True,cubic,-43m,216,26.6384,9.6837,1.0
Ru2 Si2 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,2.2,0.8309,0.65,0.2375,5.0,1.833,True,tetragonal,4/mmm,139,16.8586,8.2194,0.7431
K3 Na1 O8 Se2,4,0.0,0.2857,0.0,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,-1.1429,2.62,1.1318,1.6,0.6614,2.0,0.9395,True,trigonal,-3m,164,16.9723,2.9785,0.78
I8 Te16,2,0.0,0.0,0.0,0.6667,0.3333,0.0,0.6667,0.0,0.0,0.0,-1.6667,0.56,0.264,0.0,0.0,0.0,0.0,True,orthorhombic,mmm,62,41.8319,5.0559,0.2439
H8 I2 P2,3,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,-1.3333,0.47,0.1722,1.15,0.4625,4.0,1.5275,True,tetragonal,4/mmm,129,16.0307,2.7952,0.727
Ge6 Ta10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,1.625,0.51,0.2469,0.2,0.0968,2.0,0.9682,True,hexagonal,6/mmm,193,16.9562,13.7429,1.4317
F8 K4 O2 Te2,4,0.0,0.25,0.0,0.25,0.5,0.0,0.125,0.0,0.0,0.0,-0.75,3.16,1.3346,1.7,0.7228,3.0,1.1659,True,orthorhombic,mmm,63,19.3288,3.1979,0.8213
Mo8 O56 P8 Rb8 Te4,5,0.0,0.0952,0.0,0.7143,0.0,0.0,0.0476,0.0,0.0,0.0952,-1.2381,2.62,0.8584,1.75,0.5489,3.0,1.2581,True,orthorhombic,mmm,60,16.0863,3.8162,0.7289
Au3 K3 Sb2,3,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.375,0.75,1.72,0.7618,0.85,0.394,2.0,0.866,True,trigonal,-3m,166,31.868,6.1988,1.0
F6 K1 Ru1,3,0.0,0.125,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.125,-0.25,3.16,1.1238,1.7,0.5862,3.0,1.111,True,trigonal,-3m,166,16.2922,3.2381,1.0
W1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True,cubic,m-3m,229,16.1914,18.854,1.0
Nd8 Re12 Si20,3,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.3,-0.2,0.76,0.304,0.75,0.2839,5.0,2.0224,True,tetragonal,4/mmm,128,17.4641,9.3897,0.5175
Al4 As12 Ca12,3,0.0,0.0,0.4286,0.0,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,1.18,0.5463,0.65,0.311,1.0,0.3499,True,orthorhombic,mmm,62,25.0056,3.5289,0.3129
As2 Eu1 Fe2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.0,2.18,0.8171,0.7,0.2557,4.0,1.6,True,tetragonal,4/mmm,139,17.1211,8.0208,0.6551
Cd2 Ge4 O10,3,0.0,0.0,0.0,0.625,0.0,0.0,0.25,0.0,0.0,0.125,-2.0,1.75,0.7496,0.95,0.3733,3.0,1.1659,True,triclinic,-1,2,11.8189,5.9306,0.7737
In2 La4,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.6667,3.0,0.68,0.3206,0.4,0.1886,3.0,1.4142,True,hexagonal,6/mmm,194,32.9074,6.6041,0.7924
As8 Ba8 Ge4,3,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-1.2,1.29,0.6074,1.0,0.475,2.0,0.9798,True,monoclinic,2/m,14,32.5695,5.0693,0.7908
Cs2 Sm2 Te6 Zn2,4,0.0,0.1667,0.0,0.5,0.0,0.1667,0.5,0.0,0.1667,0.1667,-0.0,1.31,0.5128,1.25,0.4506,4.0,1.2583,True,orthorhombic,mmm,63,38.7235,5.2278,0.3769
Ge32 Li28 Rb4,3,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-1.5,1.19,0.5263,1.1,0.2621,3.0,1.0735,True,hexagonal,6mm,186,21.3602,3.4748,0.5874
In4 Mg10,2,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857,0.47,0.2123,0.05,0.0226,2.0,0.9035,True,monoclinic,2/m,12,23.5309,3.5401,0.7199
Fe2 Li2 O24 P8,4,0.0,0.0556,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0556,-1.8333,2.46,0.7573,0.85,0.2804,2.0,0.5774,True,monoclinic,2/m,15,12.3177,2.836,0.7428
Bi12 Ho20,2,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.625,0.0,3.0,0.79,0.3825,0.15,0.0726,2.0,0.9682,True,orthorhombic,mmm,62,29.3441,10.2679,0.686
Mn2 Na12 Se8,3,0.0,0.5455,0.0,0.3636,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,1.62,0.7567,0.65,0.3063,1.0,0.4979,True,hexagonal,6mm,186,25.4165,3.0215,1.295
Co1 Ga1 Mn2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.25,0.33,0.1496,0.1,0.0415,0.0,0.0,True,cubic,-43m,216,12.7882,7.7433,1.0
P1 Pt1 Sm1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,1.11,0.5034,0.85,0.3488,5.0,2.0548,True,hexagonal,-6m2,187,20.0615,10.3856,1.0466
Cr4 O12 W2,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.2222,1.78,0.7536,0.8,0.3695,4.0,1.3699,True,tetragonal,4/mmm,136,10.9602,6.4614,0.5151
F28 H20 K8,3,0.0,0.1429,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.7143,3.16,1.1731,1.95,0.6416,3.0,0.961,True,monoclinic,2/m,14,12.8018,2.0033,0.8296
In1 N1 Nd3,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.8,1.9,0.7388,1.2,0.4648,6.0,2.4,True,cubic,m-3m,221,25.6137,7.2811,1.0
Co6 Ga18 Ho4,3,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.2143,2.7857,0.65,0.211,0.45,0.1544,4.0,1.3997,True,orthorhombic,mmm,63,15.8005,8.5138,0.7838
Al6 Cl2 K8 O24 Si6,5,0.0,0.1739,0.0,0.5217,0.0435,0.0,0.1304,0.0,0.0,0.0,-1.0435,2.62,1.0583,1.6,0.5842,2.0,0.7581,True,cubic,-43m,218,17.8838,2.2165,1.0
Na8 O16 Si4 Zn4,4,0.0,0.25,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,-1.0,2.51,1.0875,1.2,0.5034,2.0,0.696,True,orthorhombic,mm2,33,13.1281,3.2171,0.4833
I10 Ta7 Te24,3,0.0,0.0,0.0,0.5854,0.2439,0.0,0.5854,0.0,0.0,0.1707,-0.561,1.16,0.3698,0.05,0.0188,1.0,0.3763,True,triclinic,-1,2,36.9599,6.1344,0.2504
Ge10 Nd4 Rh6,3,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.3,-0.5,1.14,0.4057,0.6,0.2291,4.0,1.5133,True,monoclinic,2/m,15,18.7798,8.492,0.715
Ag4 S8 Sb4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,-1.5,0.65,0.298,0.6,0.2678,2.0,1.0,True,monoclinic,2/m,15,24.7637,4.9245,0.3513
La4 O12 Y4,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.4,0.0,2.34,1.1176,1.35,0.6264,6.0,2.4,True,orthorhombic,mmm,62,15.5972,5.8728,0.687
Si6 Ta10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,1.625,0.4,0.1936,0.35,0.1694,3.0,1.4524,True,tetragonal,4/mmm,140,16.0649,12.7784,0.8677
N12 S10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5455,0.46,0.229,0.35,0.1743,1.0,0.4979,True,monoclinic,2/m,15,19.9832,1.846,0.9704
F12 Gd2 K6,3,0.0,0.3,0.0,0.0,0.6,0.1,0.0,0.0,0.1,0.0,0.0,3.16,1.5051,1.7,0.7915,6.0,1.833,True,monoclinic,2/m,14,19.8668,3.2475,0.6989
Bi8 Cu8 Mn6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,2.3636,0.47,0.1896,0.25,0.1117,2.0,0.9621,True,cubic,m-3m,225,19.9259,9.5073,1.0
Br2 K4 O1,3,0.0,0.5714,0.0,0.1429,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.1478,1.6,0.6335,2.0,0.6999,True,tetragonal,4/mmm,139,32.8108,2.4018,0.5715
Hg4 O12 Te4,3,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.2,-1.4,1.44,0.6817,0.9,0.4176,4.0,1.7436,True,triclinic,-1,2,16.7224,7.4711,0.8193
Pd2 Sn1 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.75,2.2,0.9232,0.35,0.1458,3.0,1.299,True,cubic,m-3m,225,19.0647,10.9875,1.0
Ru2 Si2 Yb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,2.2,0.8309,0.65,0.2375,5.0,1.833,True,tetragonal,4/mmm,139,16.8431,8.5052,0.7565
B4 Ga32 Ir16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.3077,3.0,0.39,0.1786,0.5,0.1264,4.0,1.1513,True,tetragonal,4/mmm,142,15.2226,11.2228,0.7032
P1 Si1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-3.5,0.29,0.145,0.1,0.05,0.0,0.0,True,cubic,-43m,216,18.884,2.5966,1.0
Cd2 Tb1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,1.69,0.7967,0.2,0.0943,3.0,1.4142,True,hexagonal,6/mmm,191,24.9158,8.5251,1.4419
N2 Se1 U2,3,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.8,1.66,0.7547,1.1,0.4923,7.0,3.1875,True,trigonal,-3m,164,17.5182,11.053,0.5602
